,1,3,4,accuracy,macro avg,weighted avg
precision,1.0,0.8536585365853658,0.8913043478260869,0.8888888888888888,0.9149876281371508,0.9010518761314095
recall,0.5714285714285714,1.0,0.9534883720930233,0.8888888888888888,0.8416389811738649,0.8888888888888888
f1-score,0.7272727272727273,0.9210526315789473,0.9213483146067416,0.8888888888888888,0.8565578911528053,0.8800762313745486
support,21.0,35.0,43.0,0.8888888888888888,99.0,99.0
